BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,BALANCE_USAGE_RATIO,ONEOFF_PURCHASE_RATIO,INSTALLMENT_PURCHASE_RATIO,TOTAL_PURCHASES,PURCHASES_PER_TRX,CASH_ADVANCE_PER_TRX,PAYMENT_RATIO,MINIMUM_PAYMENT_RATIO,FULL_PAYMENT_FLAG,UTILIZATION_RATIO
40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,0.040900749,0.0,0.9999999895178199,95.4,47.7,0.0,0.20180208400000002,0.139509787,0,0.09540000000000001
3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,0.4574953451428571,0.0,0.0,0.0,0.0,1610.73637075,0.5861475138571429,0.15319145957142857,0,0.9204207832857143
2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,0.33268651493333334,0.9999999987066234,0.0,773.17,64.43083333333333,0.0,0.08294223226666667,0.08363797160000001,0,0.10308933333333332
1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,864.2065423050828,0.0,12,0.22222273893333333,0.9999999993328885,0.0,1499.0,1499.0,205.788017,0.0,0.11522753897401104,0,0.22730506893333335
817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,0.6814286125,0.9999999375000038,0.0,16.0,16.0,0.0,0.5652789691666666,0.2039926975,0,0.013333333333333334
1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,1.0054604172222221,0.0,0.99999999924997,1333.28,166.66,0.0,0.7778098722222222,1.3373589083333335,0,0.7407111111111111
627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,0.046463763407407405,0.9029221505959063,0.09707784926307002,7091.01,110.79703125,0.0,0.47068995022222226,0.014671547703703703,1,0.5252600000000001
1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,0.7928924969565218,0.0,0.9999999977074736,436.2,36.35,0.0,0.29524568782608696,0.23131912608695654,0,0.18965217391304348
1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,0.14498949614285714,0.7678440831955751,0.2321559156436454,861.49,172.298,0.0,0.0983255097142857,0.044566201285714285,0,0.12307
152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,0.013838725,0.9999999992197253,0.0,1281.6,427.2,0.0,0.10588823554545454,0.009118387454545454,0,0.1165090909090909
